42375,7514
1151,2418
1151,4511
1151,7405
1151,684879
1151,9346
1151,10454
2418,4511
2418,7405
2418,684879
2418,9346
2418,10454
4511,7405
4511,684879
4511,9346
4511,10454
7405,684879
7405,9346
7405,10454
684879,9346
684879,10454
9346,10454
228790,6984
1151,1000492
2418,1000492
1151,1588
1151,7393
1151,7891
1588,2418
1588,4511
1588,7393
1588,7891
1588,9346
1588,10454
2418,7393
2418,7891
4511,7393
4511,7891
7393,7891
7393,9346
7393,10454
7891,9346
7891,10454
197,4511
21183,321988
21183,4511
321988,4511
197,2418
197,7405
197,1000492
7405,1000492
90176,6582
90176,8597
90176,684879
6582,8597
6582,684879
8597,684879
2418,321988
1151,1897
1151,6582
1151,8597
1897,2418
1897,6582
1897,7405
1897,8597
1897,9346
1897,10454
2418,6582
2418,8597
6582,7405
6582,9346
6582,10454
7405,8597
8597,9346
8597,10454
4511,6711
1897,4511
4511,8597
1151,11248
2418,11248
11248,4511
11248,7393
11248,684879
11248,9346
11248,10454
7393,684879
1151,90176
1897,11248
1897,90176
1897,684879
2418,90176
11248,90176
11248,7405
11248,8597
4511,90176
90176,7405
90176,9346
90176,10454
11248,6582
4511,6582
1588,11248
1588,7405
1588,8597
1588,684879
11248,7891
7405,7891
7891,8597
7891,684879
90176,7891
1588,90176
90176,7393
1588,6582
6582,7891
1151,2449
1588,1897
1588,2449
1897,2449
1897,7891
2418,2449
2449,11248
2449,4511
2449,90176
2449,6582
2449,7405
2449,7891
2449,684879
2449,9346
2449,10454
1151,11359
1151,11416
1588,11359
1588,11416
2418,11359
2418,11416
11248,11359
11248,11416
4511,11359
4511,11416
11359,7405
11359,7891
11359,684879
11359,9346
11359,10454
11359,11416
7405,11416
7891,11416
684879,11416
9346,11416
10454,11416
1151,37255
11248,37255
4511,37255
90176,37255
37255,37255
1151,5933
11248,5933
4511,5933
5933,90176
5933,7393
5933,684879
5933,9346
5933,10454
5933,11416
90176,11416
7393,11416
1151,1151
1897,1897
1897,7393
2418,2418
2449,2449
2449,7393
2449,8597
11248,11248
4511,4511
7393,7393
7393,8597
8597,8597
684879,684879
9346,9346
10454,10454
1897,5933
2418,5933
5933,6582
5933,7405
1151,1895
1895,2418
1895,11248
1895,4511
1895,5933
1895,7393
1895,684879
1895,9346
1895,10454
1895,11416
6582,6582
7405,7405
1897,4018
11248,4018
4018,4511
4018,7393
4018,8597
4018,684879
4018,9346
4018,10454
1588,5933
5933,7891
1897,11416
1895,90176
1588,1895
1895,2449
1895,7891
2449,11416
1895,7405
1151,4018
1588,4018
4018,7405
11359,6582
1151,1304974
1897,1304974
2418,1304974
11248,1304974
4511,1304974
1304974,6582
1304974,7393
1304974,684879
1304974,9346
1304974,10454
6582,7393
1895,1897
1895,8597
8597,11416
1895,6582
90176,11359
1091,11248
1091,4511
1091,684879
1091,2567
1091,10454
2567,11248
2567,4511
2567,684879
2567,10454
6582,11416
37255,11416
2449,5933
1588,1588
1588,37255
1897,37255
7393,37255
7891,7891
7891,37255
684879,37255
9346,37255
37255,10454
7393,7405
4018,7891
1895,4018
2449,4018
4018,5933
4018,90176
4018,11416
1895,1895
1151,8591
1588,8591
1895,8591
2449,8591
11248,8591
5933,8591
7405,8591
7891,8591
8591,684879
8591,9346
8591,10454
8591,11416
4511,8591
8591,8597
2418,8591
7393,8591
1151,6837
1588,6837
1895,6837
2418,6837
2449,6837
11248,6837
4511,6837
6837,7405
6837,7891
6837,684879
6837,9346
6837,10454
6837,11416
5933,5933
90176,90176
11416,11416
1091,6837
1091,8156
1091,10898
6837,8156
6837,10898
8156,10898
1091,4919
4919,6837
4919,8156
4919,10898
1091,8591
4919,8591
6837,8591
8156,8591
8591,10898
1091,1901
1901,4919
1901,6837
1901,8156
1901,8591
1901,10898
1091,7704
4919,7704
6837,7704
7704,8156
7704,10898
1091,214342
214342,4919
214342,6837
214342,8156
214342,8591
214342,10898
1151,5514
1588,5514
2418,5514
4511,5514
5514,6582
5514,7393
5514,7891
5514,684879
5514,9346
5514,10454
6837,8597
2449,3322
2449,10438
2449,9143
596,2449
704,2449
2449,10737
2449,39993
2449,2567
2449,42955
2567,42955
2567,7405
2567,9346
42955,7405
42955,684879
42955,9346
42955,10454
1091,29046
1151,21183
2418,21183
21183,7393
21183,9346
21183,10454
99,1151
1151,4890
2418,4890
4511,4890
4890,684879
4890,9346
1151,4845
161,1151
8591,8591
1151,3289
1151,8163
3289,8163
161,8163
1151,5281
6582,8591
1151,8640
161,9009
1151,9009
9009,8163
161,3289
161,8896
1151,8896
3289,8896
6837,7393
1399,7405
1399,9346
1399,10454
1897,4919
4018,6582
4124,4511
4124,6373
4511,6373
4511,1000492
5514,7405
3640,4511
3640,684879
6038,684879
1895,55685
2418,55685
21183,6628
1191,42463
5487,69749
325646,69749
5487,35296
620,3355
620,25480
3355,25480
620,21949
620,8013
21949,3355
21949,25480
21949,8013
3355,8013
25480,8013
3288,3288
7407,7407
2019,6375
2019,60307
60307,6375
8152,38404
3322,5489
4450,37801
21090,4450
21090,37801
2623,4450
4053,448
4053,10753
1191,1886
1191,2670
1886,2670
161,1886
161,23088
1886,23088
1191,19860
19860,1886
19860,2670
161,19860
161,2670
1886,8163
1886,9525
8163,9525
1886,4025
161,1191
1191,23088
1886,9009
161,9518
1191,9518
1886,9518
161,161
161,3498
1191,3498
1886,3498
161,52364
1886,52364
1191,1191
1886,1886
161,1399
161,1897
161,448
1191,1399
1191,1897
1191,448
1191,8163
1399,1399
1399,1886
1399,1897
1399,448
1399,8163
1399,9518
1886,1897
1886,448
1897,448
1897,8163
1897,9518
448,8163
448,9518
8163,9518
161,9525
1191,6760
1886,6760
2670,6760
1191,8785
1886,8785
3498,4025
1191,612
612,1886
1886,3444
3444,4025
612,2670
2396,9260
5470,5487
5470,9260
5487,9260
60223,2582
60223,3355
60223,10324
3355,10324
60223,7405
139462,10759
3264,139462
6472,7393
153970,8120
68244,53654
68244,11413
53654,11413
3108,7405
3108,10753
7405,10753
3108,9997
7405,9997
8134,8183
1514,2623
2623,2623
2623,37801
2623,10637
37801,10637
72302,72302
5487,321064
448,10438
9009,8597
9009,10438
8597,10438
3966,8134
3966,10438
8134,10438
10582,10814
612,3498
448,448
704,3355
1514,1514
3355,9143
2582,3992
2582,36676
3992,36676
8163,8163
448,5492
2541,9525
3992,5933
3992,8597
5933,8597
3966,3992
10600,283809
38400,38400
4124,14584
7052,7243
3264,35780
3264,10759
276237,117466
276237,1102270
1102270,117466
195085,276237
195085,117466
195085,68244
68244,117466
296,10691
22656,22656
22656,4124
4124,4124
161,5489
161,8785
161,7804
1399,3498
3498,448
3498,8163
3289,3289
161,22892
3289,3498
161,22696
161,3966
161,10849
3289,10849
8896,10849
161,6468
1897,3289
1897,6468
3289,6468
6468,8163
8163,10849
161,2410
3498,8896
2670,8896
8896,8896
2410,2670
8163,8896
2670,10849
2670,8163
2670,3498
2670,9009
2670,22696
22696,8896
9009,8896
1191,8134
2670,8134
2670,448
8339,37617
704,8076
704,2356
4491,10169
4491,10627
6809,857974
1100699,6809
1488564,6809
4821,6809
