134615,10600
1514,2623
19831,25255
195085,117466
195085,276237
997602,7426
358258,4179
475342,32592
214354,35296
72962,51499
195088,83395
22299,9384
733,22299
253337,337525
1596450,11124
732,341018
2555,12574
6694,6878
29561,10627
8782,36453
733,5690
3327,7476
253453,9344
120608,9344
3639,632
2599,48937
237162,10689
358258,224905
282388,194337
3995,224905
40048,84108
3639,224905
72962,10803
224905,39541
5657,44
3002,224905
43611,10600
40048,224905
10180,10829
194881,10600
9010,10173
51499,32592
3001,8163
2555,57308
194000,72962
161,3355
2555,3002
3289,8745
3355,42331
22696,8896
3289,5032
327361,6851
18631,5690
704,8076
21116,11413
689,10438
723,48203
2551,228476
2231,6099
253337,56946
5764,54552
328134,51499
87636,8698
44151,3041
337525,68446
25480,7052
318341,4492
720,18346
33738,596554
17767,54552
3521,8638
3264,342369
3827,7441
18343,847728
17767,73494
28889,88249
3827,135056
358258,194337
10324,224905
1191,3521
83367,2382
1223,3500
596723,4719
85762,83395
1418,4053
3008,301542
1418,2582
2400,6816
68244,117466
2555,224905
194000,32592
42347,7243
40048,495881
3002,56946
253337,357977
1347,25255
18631,2191
283810,10600
25480,31914
325646,83818
28439,38404
2002,38404
3498,10438
32624,38404
114477,38404
2002,28439
60548,6809
72435,3264
19484,73494
194881,43611
18330,10753
322167,77492
18867,5487
325646,5487
17767,83367
50166,5487
5032,8896
17767,18867
17767,321064
644,5487
1369,7226
2555,51499
430,8638
141704,42316
72965,7514
56946,38409
5487,29046
5487,52175
5487,6876
5487,6918
17767,69749
5470,6058
5487,83818
5487,321064
5487,8787
5487,35208
641,384455
82122,384455
2709,384455
5690,384455
2551,10829
8782,73032
733,1596450
2590,6135
194000,51499
321988,700810
274332,69749
67108,11289
318341,12574
6038,35617
84108,857974
480167,56946
2555,3639
343047,719872
3098,37776
6963,7617
7512,57048
194000,56946
1897,2418
1488564,6809
197,3131
7804,187832
194000,357977
72962,1098413
11645,3131
83367,341248
732,614373
29561,139462
304962,69120
15657,805452
318341,72962
4492,6313
644,2409
83929,76895
253337,194000
72962,224905
2002,25480
2541,87636
3355,10395
7258,10395
8703,36567
4053,7984
